timepoint,genotype,count,fitness
5,01010000,11,1.35
5,01010001,6,1.45
5,01010100,1,1.3
5,01011000,3,1.25
5,01011001,1,1.6300000000000001
5,01011010,1,1.1800000000000002
5,01100000,1,1.1
5,01100100,2,1.35
5,01110001,1,1.35
5,01110100,2,1.5
5,10000000,24,1.35
5,10000001,16,1.45
5,10000010,8,1.53
5,10000011,2,1.63
5,10000100,1,1.3
5,10000101,1,1.4
5,10001000,11,1.6
5,10001001,1,1.98
5,10001100,1,1.55
5,10001101,2,1.93
5,10001110,1,1.73
5,10010000,16,1.5
5,10010001,5,1.6
5,10010010,2,1.43
5,10010101,1,1.55
5,10100000,6,1.25
5,10100001,5,1.35
5,10100010,1,1.43
5,10100111,2,1.72
5,10101000,2,1.5
5,10101001,1,1.8800000000000001
5,10110000,6,1.4
5,11000000,21,1.9500000000000002
5,11000001,10,2.05
5,11000010,3,2.13
5,11000011,3,2.23
5,11000100,13,1.9
5,11000101,5,2.0
5,11000111,3,2.12
5,11001000,11,2.4000000000000004
5,11001001,1,2.7799999999999994
5,11001010,2,2.58
5,11001100,7,2.3499999999999996
5,11001101,1,2.6699999999999995
5,11010000,4,2.1
5,11010001,2,2.2
5,11010010,1,2.0300000000000002
5,11010011,1,2.07
5,11100000,3,1.85
5,11100001,1,1.9500000000000002
5,11100011,2,2.07
5,11100100,2,2.1
5,11100101,1,2.1399999999999997
5,11101001,1,2.6199999999999997
5,11110001,2,2.04
6,00000000,15,1.0
6,00000001,7,1.1
6,00000010,3,1.18
6,00000011,5,1.28
6,00000100,3,0.95
6,00000101,1,1.05
6,00000110,3,1.13
6,00000111,1,1.23
6,00001000,11,1.25
6,00001001,8,1.6300000000000001
6,00001010,5,1.43
6,00001100,2,1.2
6,00001101,4,1.58
6,00001110,2,1.38
6,00010000,4,1.15
6,00010001,2,1.25
6,00010100,2,1.1
6,00010101,4,1.2
6,00011000,3,1.4
6,00011010,1,1.33
6,00011100,2,1.35
6,00100000,2,0.9
6,00100001,1,1.0
6,00100011,1,1.18
6,00100100,1,1.15
6,00101000,4,1.15
6,00101001,1,1.53
6,00101010,1,1.33
6,00101111,1,1.9
6,00110000,1,1.05
6,01000000,15,1.2
6,01000001,6,1.3
6,01000010,5,1.38
6,01000011,4,1.48
6,01000100,1,1.15
6,01000101,2,1.25
6,01000110,2,1.33
6,01001000,5,1.1
